직업명,회사,장소,지원 링크
[메가스터디교육] 입시서비스 기획 / 데이터분석 파트 팀원 모집,메가스터디교육㈜,서울,http://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=38258557
2020년 각 부문 채용,(주)에프엘이에스,서울,http://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=38257482
Jr. iOS 개발자 (전문연구요원 가능) 정규직 채용,(주)버즈빌,서울,http://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=38266797
"2020 상반기 웹개발 신입, 경력 채용 공고",(주)지엔아이티,경기,http://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=38202192
[전액국비지원] 4차 산업혁명 분야 취업연수생 모집,대한상공회의소 서울기술교육센터,서울,http://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=38275228
서커스컴퍼니 6월 채용 각 부문 크루 모집,(주)서커스컴퍼니,서울,http://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=38230240
"[신입/경력] 모바일 개발자(C#, Xamarin) / 일반 사무보조 채용",알토란이알피(주),서울,http://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=38306096
(주)NDSOFT 2020년 개발자 채용,주식회사 엔디소프트,부산,http://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=38245392
스마트공장 솔루션 개발 및 데이터 분석가 모집 (정규직&계약직),(주)동연에스엔티,부산,http://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=38312448
웹개발(프론트엔드/백엔드/PHP/Ajax) 채용(카페24 파트너사),(주)애드펄스,서울,http://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=38310015
2020 마코그룹 시각디자인팀 채용 [편집/BX.UI.UX/웹.앱 개발],마코,부산,http://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=38259797
2020년 ‘4차산업혁명 선도인력 양성사업’ 교육생 모집,에스케이인포섹㈜,서울,http://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=38219298
[게임회사 네오플] 데이터분석팀 인재 모집,㈜네오플,제주,http://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=38194647
국립암센터 인공지능사업팀 석/학사급 연구원 모집(연구보조0명),국립암센터,경기,http://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=38293196
[세정아이앤씨] 소프트웨어 연구개발 및 운영 신입(인턴)/경력,(주)세정아이앤씨,부산,http://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=38280730
아이나비 컴퓨터비전/머신러닝 개발 담당 신입 및 경력 모집,팅크웨어(주),경기,http://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=38295275
[비스텔] AI/빅데이터-Data Scientist 연구개발 (병역특례 가능),(주)비스텔,서울,http://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=38188457
오픈메이트 데이터 분석가(신입/경력/병역특례) 대규모 채용,(주)오픈메이트,서울,http://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=38294242
개발팀(기술연구소) 채용,(주)유니콤넷,서울,http://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=38325797
2020년 하반기 (주)모비젠 부문별 경력 모집 공고,(주)모비젠,서울,http://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=38284310
